"Name","DisplayName","Enabled","Direction","Action","Profile","InterfaceType"
"CoreNet-DHCPV6-In","Core Networking - Dynamic Host Configuration Protocol for IPv6(DHCPV6-In)","True","Inbound","Allow","Any",
"MSDTC-KTMRM-In-TCP","Distributed Transaction Coordinator (RPC)","False","Inbound","Allow","Private, Public",
"NETDIS-SSDPSrv-In-UDP-Teredo","Network Discovery for Teredo (SSDP-In)","True","Inbound","Allow","Public",
"PlayTo-Out-UDP-LocalSubnetScope","Cast to Device streaming server (RTP-Streaming-Out)","True","Outbound","Allow","Private",
"MCX-Prov-Out-TCP","Media Center Extenders - Device Provisioning (TCP-Out)","False","Outbound","Allow","Any",
"MsiScsi-Out-TCP","iSCSI Service (TCP-Out)","False","Outbound","Allow","Private, Public",
"NETDIS-UPnP-Out-TCP","Network Discovery (UPnPHost-Out)","True","Outbound","Allow","Domain, Public",
"CDPSvc-Out-TCP","Connected Devices Platform (TCP-Out)","True","Outbound","Allow","Domain, Private",
"MSDTC-RPCSS-In-TCP-NoScope","Distributed Transaction Coordinator (RPC-EPMAP)","False","Inbound","Allow","Domain",
"PlayTo-In-UDP-NoScope","Cast to Device streaming server (RTCP-Streaming-In)","True","Inbound","Allow","Domain",
"WFDPRINT-SCAN-In-Active","Wi-Fi Direct Scan Service Use (In)","True","Inbound","Allow","Public",
"RemoteAssistance-PnrpSvc-UDP-OUT","Remote Assistance (PNRP-Out)","False","Outbound","Allow","Public",
"Microsoft-Windows-PeerDist-HostedServer-In","BranchCache Hosted Cache Server (HTTP-In)","False","Inbound","Allow","Any",
"NETDIS-FDPHOST-In-UDP-Active","Network Discovery (WSD-In)","True","Inbound","Allow","Private",
"CoreNet-ICMP6-RS-Out","Core Networking - Router Solicitation (ICMPv6-Out)","True","Outbound","Allow","Any",
"RemoteAssistance-SSDPSrv-Out-UDP-Active","Remote Assistance (SSDP UDP-Out)","True","Outbound","Allow","Domain, Private",
"RemoteAssistance-SSDPSrv-Out-TCP-Active","Remote Assistance (SSDP TCP-Out)","True","Outbound","Allow","Domain, Private",
"NETDIS-WSDEVNT-In-TCP-Active","Network Discovery (WSD Events-In)","True","Inbound","Allow","Private",
"CoreNet-ICMP6-NDS-In","Core Networking - Neighbor Discovery Solicitation (ICMPv6-In)","True","Inbound","Allow","Any",
"EventForwarder-RPCSS-In-TCP","Remote Event Monitor (RPC-EPMAP)","False","Inbound","Allow","Any",
"RemoteAssistance-DCOM-In-TCP-NoScope-Active","Remote Assistance (DCOM-In)","True","Inbound","Allow","Domain",
"NETDIS-UPnPHost-Out-TCP-Active","Network Discovery (UPnP-Out)","True","Outbound","Allow","Private",
"NETDIS-WSDEVNTS-In-TCP-Active","Network Discovery (WSD EventsSecure-In)","True","Inbound","Allow","Private",
"PlayTo-In-RTSP-NoScope","Cast to Device streaming server (RTSP-Streaming-In)","True","Inbound","Allow","Domain",
"RVM-RPCSS-In-TCP","Remote Volume Management (RPC-EPMAP)","False","Inbound","Allow","Private, Public",
"RemoteAssistance-RAServer-In-TCP-NoScope-Active","Remote Assistance (RA Server TCP-In)","True","Inbound","Allow","Domain",
"NETDIS-UPnPHost-In-TCP-Active","Network Discovery (UPnP-In)","True","Inbound","Allow","Private",
"RemoteEventLogSvc-RPCSS-In-TCP-NoScope","Remote Event Log Management (RPC-EPMAP)","False","Inbound","Allow","Domain",
"CoreNet-ICMP6-LR2-Out","Core Networking - Multicast Listener Report v2 (ICMPv6-Out)","True","Outbound","Allow","Any",
"CoreNet-Diag-ICMP6-EchoRequest-Out","Core Networking Diagnostics - ICMP Echo Request (ICMPv6-Out)","False","Outbound","Allow","Private, Public",
"EventForwarder-In-TCP","Remote Event Monitor (RPC)","False","Inbound","Allow","Any",
"MCX-In-UDP","Media Center Extenders - WMDRM-ND/RTP/RTCP (UDP-In)","False","Inbound","Allow","Any",
"NVS-FrameServer-In-UDP-NoScope","Microsoft Media Foundation Network Source IN [UDP 5004-5009]","True","Inbound","Allow","Any",
"Microsoft-Windows-Enrollment-WinRT-TCP-Out","Windows Device Management Enrollment Service (TCP out)","True","Outbound","Allow","Any",
"SNMPTRAP-In-UDP-NoScope","SNMP Trap Service (UDP In)","False","Inbound","Allow","Domain",
"WMI-ASYNC-In-TCP","Windows Management Instrumentation (ASync-In)","False","Inbound","Allow","Private, Public",
"CoreNet-Diag-ICMP4-EchoRequest-Out-NoScope","Core Networking Diagnostics - ICMP Echo Request (ICMPv4-Out)","False","Outbound","Allow","Domain",
"MDNS-Out-UDP-Public-Active","mDNS (UDP-Out)","True","Outbound","Allow","Public",
"WMI-WINMGMT-In-TCP","Windows Management Instrumentation (WMI-In)","False","Inbound","Allow","Private, Public",
"WPDMTP-Out-TCP-NoScope","Wireless Portable Devices (TCP-Out)","False","Outbound","Allow","Domain",
"PlayTo-QWave-In-UDP-PlayToScope","Cast to Device functionality (qWave-UDP-In)","True","Inbound","Allow","Private, Public",
"RemoteFwAdmin-RPCSS-In-TCP","Windows Defender Firewall Remote Management (RPC-EPMAP)","False","Inbound","Allow","Private, Public",
"PerfLogsAlerts-PLASrv-In-TCP","Performance Logs and Alerts (TCP-In)","False","Inbound","Allow","Private, Public",
"WINRM-HTTP-In-TCP","Windows Remote Management (HTTP-In)","False","Inbound","Allow","Public",
"CloudIdSvc-Allow-HTTPS-Out-TCP","Cloud Identity (TCP-Out)","True","Outbound","Allow","Any",
"DeliveryOptimization-TCP-In","Delivery Optimization (TCP-In)","True","Inbound","Allow","Any",
"MSDTC-Out-TCP-NoScope","Distributed Transaction Coordinator (TCP-Out)","False","Outbound","Allow","Domain",
"NETDIS-NB_Name-In-UDP","Network Discovery (NB-Name-In)","True","Inbound","Allow","Public",
"Microsoft-Windows-DeviceManagement-CertificateInstall-TCP-Out","Windows Device Management Certificate Installer (TCP out)","True","Outbound","Allow","Any",
"vm-monitoring-rpc","Virtual Machine Monitoring (RPC)","False","Inbound","Allow","Any",
"CoreNet-ICMP6-LD-Out","Core Networking - Multicast Listener Done (ICMPv6-Out)","True","Outbound","Allow","Any",
"MsiScsi-In-TCP","iSCSI Service (TCP-In)","False","Inbound","Allow","Private, Public",
"RemoteAssistance-PnrpSvc-UDP-In-EdgeScope","Remote Assistance (PNRP-In)","False","Inbound","Allow","Public",
"RRAS-PPTP-In-TCP","Routing and Remote Access (PPTP-In)","False","Inbound","Allow","Any",
"CoreNet-Teredo-Out","Core Networking - Teredo (UDP-Out)","True","Outbound","Allow","Any",
"RVM-VDS-In-TCP","Remote Volume Management - Virtual Disk Service (RPC)","False","Inbound","Allow","Private, Public",
"TPMVSCMGR-Server-In-TCP-NoScope","TPM Virtual Smart Card Management (TCP-In)","False","Inbound","Allow","Domain",
"WMI-WINMGMT-Out-TCP","Windows Management Instrumentation (WMI-Out)","False","Outbound","Allow","Private, Public",
"NETDIS-NB_Datagram-In-UDP-NoScope","Network Discovery (NB-Datagram-In)","True","Inbound","Allow","Domain",
"vm-monitoring-dcom","Virtual Machine Monitoring (DCOM-In)","False","Inbound","Allow","Any",
"CoreNet-ICMP6-RS-In","Core Networking - Router Solicitation (ICMPv6-In)","True","Inbound","Allow","Any",
"MCX-In-TCP","Media Center Extenders - RTSP (TCP-In)","False","Inbound","Allow","Any",
"MCX-QWave-Out-UDP","Media Center Extenders - qWave (UDP-Out)","False","Outbound","Allow","Any",
"MCX-QWave-Out-TCP","Media Center Extenders - qWave (TCP-Out)","False","Outbound","Allow","Any",
"WMI-RPCSS-In-TCP","Windows Management Instrumentation (DCOM-In)","False","Inbound","Allow","Private, Public",
"WirelessDisplay-Infra-In-TCP","Wireless Display Infrastructure Back Channel (TCP-In)","True","Inbound","Allow","Any",
"NETDIS-FDRESPUB-WSD-In-UDP-Active","Network Discovery (Pub-WSD-In)","True","Inbound","Allow","Private",
"NETDIS-WSDEVNTS-Out-TCP","Network Discovery (WSD EventsSecure-Out)","True","Outbound","Allow","Public",
"PlayTo-QWave-Out-UDP-PlayToScope","Cast to Device functionality (qWave-UDP-Out)","True","Outbound","Allow","Private, Public",
"PNRPMNRS-SSDPSrv-Out-UDP","Windows Collaboration Computer Name Registration Service (SSDP-Out)","False","Outbound","Allow","Any",
"RemoteDesktop-In-TCP-WSS","Remote Desktop - (TCP-WSS-In)","False","Inbound","Allow","Any",
"CoreNet-GP-LSASS-Out-TCP","Core Networking - Group Policy (LSASS-Out)","True","Outbound","Allow","Domain",
"MCX-TERMSRV-In-TCP","Media Center Extenders - XSP (TCP-In)","False","Inbound","Allow","Any",
"Microsoft-Windows-Troubleshooting-HTTP-HTTPS-Out","Recommended Troubleshooting Client (HTTP/HTTPS Out)","True","Outbound","Allow","Any",
"SPPSVC-In-TCP","Key Management Service (TCP-In)","False","Inbound","Allow","Private, Public",
"RemoteTask-RPCSS-In-TCP-NoScope","Remote Scheduled Tasks Management (RPC-EPMAP)","False","Inbound","Allow","Domain",
"RemoteAssistance-PnrpSvc-UDP-In-EdgeScope-Active","Remote Assistance (PNRP-In)","True","Inbound","Allow","Domain, Private",
"NETDIS-UPnPHost-Out-TCP-NoScope","Network Discovery (UPnP-Out)","True","Outbound","Allow","Domain",
"Collab-PNRP-In-UDP","Windows Peer to Peer Collaboration Foundation (PNRP-In)","False","Inbound","Allow","Any",
"NETDIS-WSDEVNT-In-TCP-NoScope","Network Discovery (WSD Events-In)","True","Inbound","Allow","Domain",
"DIAL-Protocol-Server-In-TCP-NoScope","DIAL protocol server (HTTP-In)","True","Inbound","Allow","Domain",
"RemoteSvcAdmin-RPCSS-In-TCP-NoScope","Remote Service Management (RPC-EPMAP)","False","Inbound","Allow","Domain",
"WMI-ASYNC-In-TCP-NoScope","Windows Management Instrumentation (ASync-In)","False","Inbound","Allow","Domain",
"NETDIS-WSDEVNT-Out-TCP-NoScope","Network Discovery (WSD Events-Out)","True","Outbound","Allow","Domain",
"NETDIS-FDRESPUB-WSD-Out-UDP-Active","Network Discovery (Pub WSD-Out)","True","Outbound","Allow","Private",
"NETDIS-LLMNR-Out-UDP","Network Discovery (LLMNR-UDP-Out)","True","Outbound","Allow","Domain, Public",
"RemoteFwAdmin-In-TCP-NoScope","Windows Defender Firewall Remote Management (RPC)","False","Inbound","Allow","Domain",
"vm-monitoring-nb-session","Virtual Machine Monitoring (NB-Session-In)","False","Inbound","Allow","Any",
"WirelessDisplay-Out-TCP","Wireless Display (TCP-Out)","True","Outbound","Allow","Any",
"WirelessDisplay-Out-UDP","Wireless Display (UDP-Out)","True","Outbound","Allow","Any",
"RemoteAssistance-RAServer-Out-TCP-NoScope-Active","Remote Assistance (RA Server TCP-Out)","True","Outbound","Allow","Domain",
"CoreNet-ICMP6-RA-Out","Core Networking - Router Advertisement (ICMPv6-Out)","True","Outbound","Allow","Any",
"Collab-P2PHost-Out-TCP","Windows Peer to Peer Collaboration Foundation (TCP-Out)","False","Outbound","Allow","Any",
"NETDIS-WSDEVNTS-In-TCP-NoScope","Network Discovery (WSD EventsSecure-In)","True","Inbound","Allow","Domain",
"CoreNet-ICMP6-NDA-In","Core Networking - Neighbor Discovery Advertisement (ICMPv6-In)","True","Inbound","Allow","Any",
"CoreNet-IPHTTPS-Out","Core Networking - IPHTTPS (TCP-Out)","True","Outbound","Allow","Any",
"WPDMTP-UPnPHost-In-TCP","Wireless Portable Devices (UPnP-In)","False","Inbound","Allow","Any",
"NVS-FrameServer-In-TCP-NoScope","Microsoft Media Foundation Network Source IN [TCP 554]","True","Inbound","Allow","Any",
"NETDIS-SSDPSrv-In-UDP","Network Discovery (SSDP-In)","True","Inbound","Allow","Domain, Public",
"RemoteSvcAdmin-In-TCP","Remote Service Management (RPC)","False","Inbound","Allow","Private, Public",
"RemoteSvcAdmin-RPCSS-In-TCP","Remote Service Management (RPC-EPMAP)","False","Inbound","Allow","Private, Public",
"CoreNet-IGMP-Out","Core Networking - Internet Group Management Protocol (IGMP-Out)","True","Outbound","Allow","Any",
"WINRM-HTTP-Compat-In-TCP","Windows Remote Management - Compatibility Mode (HTTP-In)","False","Inbound","Allow","Private, Public",
"WPDMTP-UPnPHost-Out-TCP","Wireless Portable Devices (UPnP-Out)","False","Outbound","Allow","Any",
"NETDIS-DAS-In-UDP","Network Discovery (WSD-In)","True","Inbound","Allow","Domain, Public",
"Collab-P2PHost-WSD-Out-UDP","Windows Peer to Peer Collaboration Foundation (WSD-Out)","False","Outbound","Allow","Any",
"MsiScsi-In-TCP-NoScope","iSCSI Service (TCP-In)","False","Inbound","Allow","Domain",
"NETDIS-NB_Name-In-UDP-Active","Network Discovery (NB-Name-In)","True","Inbound","Allow","Private",
"CoreNet-ICMP6-PP-In","Core Networking - Parameter Problem (ICMPv6-In)","True","Inbound","Allow","Any",
"CoreNet-DNS-Out-UDP","Core Networking - DNS (UDP-Out)","True","Outbound","Allow","Any",
"NETDIS-NB_Datagram-Out-UDP-Active","Network Discovery (NB-Datagram-Out)","True","Outbound","Allow","Private",
"NETDIS-NB_Datagram-In-UDP","Network Discovery (NB-Datagram-In)","True","Inbound","Allow","Public",
"PlayTo-HTTPSTR-In-TCP-LocalSubnetScope","Cast to Device streaming server (HTTP-Streaming-In)","True","Inbound","Allow","Private",
"PlayTo-QWave-In-TCP-PlayToScope","Cast to Device functionality (qWave-TCP-In)","True","Inbound","Allow","Private, Public",
"RemoteSvcAdmin-NP-In-TCP-NoScope","Remote Service Management (NP-In)","False","Inbound","Allow","Domain",
"CoreNet-Teredo-In","Core Networking - Teredo (UDP-In)","True","Inbound","Allow","Any",
"MCX-SSDPSrv-In-UDP","Media Center Extenders - SSDP (UDP-In)","False","Inbound","Allow","Any",
"RemoteDesktop-Shadow-In-TCP","Remote Desktop - Shadow (TCP-In)","False","Inbound","Allow","Any",
"RemoteSvcAdmin-In-TCP-NoScope","Remote Service Management (RPC)","False","Inbound","Allow","Domain",
"NVS-FrameServer-Out-TCP-NoScope","Microsoft Media Foundation Network Source OUT [TCP ALL]","True","Outbound","Allow","Any",
"PNRPMNRS-PNRP-Out-UDP","Windows Collaboration Computer Name Registration Service (PNRP-Out)","False","Outbound","Allow","Any",
"MSDTC-RPCSS-In-TCP","Distributed Transaction Coordinator (RPC-EPMAP)","False","Inbound","Allow","Private, Public",
"NETDIS-UPnPHost-In-TCP","Network Discovery (UPnP-In)","True","Inbound","Allow","Public",
"CoreNet-ICMP6-NDA-Out","Core Networking - Neighbor Discovery Advertisement (ICMPv6-Out)","True","Outbound","Allow","Any",
"AllJoyn-Router-Out-UDP","AllJoyn Router (UDP-Out)","True","Outbound","Allow","Domain, Private",
"RemoteFwAdmin-RPCSS-In-TCP-NoScope","Windows Defender Firewall Remote Management (RPC-EPMAP)","False","Inbound","Allow","Domain",
"RemoteSvcAdmin-NP-In-TCP","Remote Service Management (NP-In)","False","Inbound","Allow","Private, Public",
"MCX-FDPHost-Out-TCP","Media Center Extenders - UPnP (TCP-Out)","False","Outbound","Allow","Any",
"Microsoft-Windows-DeviceManagement-deviceenroller-TCP-Out","Windows Device Management Device Enroller (TCP out)","True","Outbound","Allow","Any",
"CoreNet-ICMP6-LQ-Out","Core Networking - Multicast Listener Query (ICMPv6-Out)","True","Outbound","Allow","Any",
"Collab-PNRP-SSDPSrv-Out-UDP","Windows Peer to Peer Collaboration Foundation (SSDP-Out)","False","Outbound","Allow","Any",
"NETDIS-NB_Name-In-UDP-NoScope","Network Discovery (NB-Name-In)","True","Inbound","Allow","Domain",
"MCX-MCX2SVC-Out-TCP","Media Center Extenders - Service (TCP-Out)","False","Outbound","Allow","Any",
"Microsoft-Windows-PeerDist-HostedClient-Out","BranchCache Hosted Cache Client (HTTP-Out)","False","Outbound","Allow","Any",
"PlayTo-SSDP-Discovery-PlayToScope","Cast to Device SSDP Discovery (UDP-In)","True","Inbound","Allow","Public",
"CoreNet-Diag-ICMP6-EchoRequest-In","Core Networking Diagnostics - ICMP Echo Request (ICMPv6-In)","False","Inbound","Allow","Private, Public",
"RVM-RPCSS-In-TCP-NoScope","Remote Volume Management (RPC-EPMAP)","False","Inbound","Allow","Domain",
"RVM-VDSLDR-In-TCP","Remote Volume Management - Virtual Disk Service Loader (RPC)","False","Inbound","Allow","Private, Public",
"TPMVSCMGR-RPCSS-In-TCP","TPM Virtual Smart Card Management (DCOM-In)","False","Inbound","Allow","Private, Public",
"TPMVSCMGR-Server-In-TCP","TPM Virtual Smart Card Management (TCP-In)","False","Inbound","Allow","Private, Public",
"TPMVSCMGR-Server-Out-TCP","TPM Virtual Smart Card Management (TCP-Out)","False","Outbound","Allow","Private, Public",
"MCX-McrMgr-Out-TCP","Media Center Extenders - Device Validation (TCP-Out)","False","Outbound","Allow","Any",
"RemoteAssistance-SSDPSrv-In-UDP-Active","Remote Assistance (SSDP UDP-In)","True","Inbound","Allow","Domain, Private",
"NETDIS-WSDEVNTS-Out-TCP-NoScope","Network Discovery (WSD EventsSecure-Out)","True","Outbound","Allow","Domain",
"NETDIS-LLMNR-Out-UDP-Active","Network Discovery (LLMNR-UDP-Out)","True","Outbound","Allow","Private",
"NETDIS-UPnPHost-In-TCP-Teredo","Network Discovery for Teredo (UPnP-In)","True","Inbound","Allow","Public",
"NETDIS-FDRESPUB-WSD-Out-UDP","Network Discovery (Pub WSD-Out)","True","Outbound","Allow","Domain, Public",
"CoreNet-ICMP6-TE-Out","Core Networking - Time Exceeded (ICMPv6-Out)","True","Outbound","Allow","Any",
"Netlogon-NamedPipe-In","Netlogon Service (NP-In)","False","Inbound","Allow","Any",
"NETDIS-SSDPSrv-In-UDP-Active","Network Discovery (SSDP-In)","True","Inbound","Allow","Private",
"PlayTo-Out-UDP-NoScope","Cast to Device streaming server (RTP-Streaming-Out)","True","Outbound","Allow","Domain",
"vm-monitoring-icmpv4","Virtual Machine Monitoring (Echo Request - ICMPv4-In)","False","Inbound","Allow","Any",
"WPDMTP-SSDPSrv-In-UDP","Wireless Portable Devices (SSDP-In)","False","Inbound","Allow","Any",
"CDPSvc-In-UDP","Connected Devices Platform (UDP-In)","True","Inbound","Allow","Domain, Private",
"CDPSvc-In-TCP","Connected Devices Platform (TCP-In)","True","Inbound","Allow","Domain, Private",
"RemoteTask-RPCSS-In-TCP","Remote Scheduled Tasks Management (RPC-EPMAP)","False","Inbound","Allow","Private, Public",
"MDNS-In-UDP-Private-Active","mDNS (UDP-In)","True","Inbound","Allow","Private",
"WPDMTP-SSDPSrv-Out-UDP","Wireless Portable Devices (SSDP-Out)","False","Outbound","Allow","Any",
"AllJoyn-Router-Out-TCP","AllJoyn Router (TCP-Out)","True","Outbound","Allow","Domain, Private",
"ProximityUxHost-Sharing-Out-TCP-NoScope","Proximity sharing over TCP (TCP sharing-Out)","True","Outbound","Allow","Any",
"RemoteAssistance-In-TCP-EdgeScope","Remote Assistance (TCP-In)","False","Inbound","Allow","Public",
"NETDIS-LLMNR-In-UDP-Active","Network Discovery (LLMNR-UDP-In)","True","Inbound","Allow","Private",
"WFDPRINT-DAFWSD-Out-Active","Wi-Fi Direct Network Discovery (Out)","True","Outbound","Allow","Public",
"vm-monitoring-icmpv6","Virtual Machine Monitoring (Echo Request - ICMPv6-In)","False","Inbound","Allow","Any",
"CoreNet-ICMP6-LR-Out","Core Networking - Multicast Listener Report (ICMPv6-Out)","True","Outbound","Allow","Any",
"TPMVSCMGR-Server-Out-TCP-NoScope","TPM Virtual Smart Card Management (TCP-Out)","False","Outbound","Allow","Domain",
"PlayTo-UPnP-Events-PlayToScope","Cast to Device UPnP Events (TCP-In)","True","Inbound","Allow","Public",
"RRAS-L2TP-In-UDP","Routing and Remote Access (L2TP-In)","False","Inbound","Allow","Any",
"CoreNet-ICMP6-PTB-In","Core Networking - Packet Too Big (ICMPv6-In)","True","Inbound","Allow","Any",
"CoreNet-DHCP-Out","Core Networking - Dynamic Host Configuration Protocol (DHCP-Out)","True","Outbound","Allow","Any",
"CoreNet-IPHTTPS-In","Core Networking - IPHTTPS (TCP-In)","True","Inbound","Allow","Any",
"WPDMTP-UPnP-Out-TCP","Wireless Portable Devices (UPnPHost-Out)","False","Outbound","Allow","Any",
"NETDIS-WSDEVNT-Out-TCP","Network Discovery (WSD Events-Out)","True","Outbound","Allow","Public",
"RemoteFwAdmin-In-TCP","Windows Defender Firewall Remote Management (RPC)","False","Inbound","Allow","Private, Public",
"AllJoyn-Router-In-TCP","AllJoyn Router (TCP-In)","True","Inbound","Allow","Domain, Private",
"AllJoyn-Router-In-UDP","AllJoyn Router (UDP-In)","True","Inbound","Allow","Domain, Private",
"RemoteAssistance-PnrpSvc-UDP-OUT-Active","Remote Assistance (PNRP-Out)","True","Outbound","Allow","Domain, Private",
"CoreNet-ICMP6-LD-In","Core Networking - Multicast Listener Done (ICMPv6-In)","True","Inbound","Allow","Any",
"MCX-Out-TCP","Media Center Extenders - RTSP (TCP-Out)","False","Outbound","Allow","Any",
"MCX-Out-UDP","Media Center Extenders - WMDRM-ND/RTP/RTCP (UDP-Out)","False","Outbound","Allow","Any",
"MCX-PlayTo-Out-UDP","Media Center Extenders - Media Streaming (UDP-Out)","False","Outbound","Allow","Any",
"Microsoft-Windows-Unified-Telemetry-Client","Connected User Experiences and Telemetry","True","Outbound","Allow","Any",
"NETDIS-WSDEVNTS-In-TCP","Network Discovery (WSD EventsSecure-In)","True","Inbound","Allow","Public",
"PlayTo-In-RTSP-LocalSubnetScope","Cast to Device streaming server (RTSP-Streaming-In)","True","Inbound","Allow","Private",
"WFDPRINT-SCAN-Out-Active","Wi-Fi Direct Scan Service Use (Out)","True","Outbound","Allow","Public",
"CoreNet-ICMP6-DU-In","Core Networking - Destination Unreachable (ICMPv6-In)","True","Inbound","Allow","Any",
"NETDIS-NB_Datagram-In-UDP-Active","Network Discovery (NB-Datagram-In)","True","Inbound","Allow","Private",
"CDPSvc-WFD-In-TCP","Connected Devices Platform - Wi-Fi Direct Transport (TCP-In)","True","Inbound","Allow","Public",
"RemoteTask-In-TCP","Remote Scheduled Tasks Management (RPC)","False","Inbound","Allow","Private, Public",
"NETDIS-SSDPSrv-Out-UDP","Network Discovery (SSDP-Out)","True","Outbound","Allow","Domain, Public",
"CoreNet-Diag-ICMP4-EchoRequest-Out","Core Networking Diagnostics - ICMP Echo Request (ICMPv4-Out)","False","Outbound","Allow","Private, Public",
"MDNS-Out-UDP-Private-Active","mDNS (UDP-Out)","True","Outbound","Allow","Private",
"SPPSVC-In-TCP-NoScope","Key Management Service (TCP-In)","False","Inbound","Allow","Domain",
"NETDIS-NB_Datagram-Out-UDP-NoScope","Network Discovery (NB-Datagram-Out)","True","Outbound","Allow","Domain",
"PlayTo-In-UDP-PlayToScope","Cast to Device streaming server (RTCP-Streaming-In)","True","Inbound","Allow","Public",
"PerfLogsAlerts-DCOM-In-TCP-NoScope","Performance Logs and Alerts (DCOM-In)","False","Inbound","Allow","Domain",
"RRAS-PPTP-Out-TCP","Routing and Remote Access (PPTP-Out)","False","Outbound","Allow","Any",
"PerfLogsAlerts-PLASrv-In-TCP-NoScope","Performance Logs and Alerts (TCP-In)","False","Inbound","Allow","Domain",
"WINRM-HTTP-In-TCP-NoScope","Windows Remote Management (HTTP-In)","False","Inbound","Allow","Domain, Private",
